계 蓟=薊(삽주 계; ⾋-총17획; jī,jiē,jiè)
계 计=計(꾀 계; ⾔-총9획; jì)
계 诫=誡(경계할 계; ⾔-총14획; jiè)
계 锲=鍥(새길 계; ⾦-총17획; jié,qì,qié)
계 阶=階(섬돌 계; ⾩-총12획; jiē)
계 鸡=雞(닭 계; ⾫-총18획; jī)
계 鸡=鷄(닭 계; ⿃-총21획; jī)
고 考=攷(상고할 고; ⽁-총6획; kǎo)
고 雇=僱(품팔 고; ⼈-총14획; gù)
고 槁=薧(마를 고; ⾋-총17획; hāo)
고 库=庫(곳집 고; ⼴-총10획; kù)
고 蛊=蠱(독 고; ⾍-총23획; gǔ)
고 裤=褲(바지 고; ⾐-총15획; kù)
고 诂=詁(주낼 고; ⾔-총12획; gǔ)
고 诰=誥(고할 고; ⾔-총14획; gào)
고 钴=鈷(다리미 고; ⾦-총13획; gǔ,gū)
고 铐=銬(쇠고랑 고; ⾦-총14획; kào)
고 锆=鋯(지르코늄 고; ⾦-총15획; gào)
고 锢=錮(땜질할 고; ⾦-총16획; gù)
고 顾=顧(돌아볼 고; ⾴-총21획; gù)
고 鸪=鴣(자고 고; ⿃-총16획; gū)
곡 谷=穀(곡식 곡; ⽲-총14획; gǔ)
곡 喾=嚳(고할 곡; ⼝-총20획; kù)
곡 毂=轂(바퀴 곡; ⾞-총17획; gǔ,gū)
곡 鹄=鵠(고니 곡; ⿃-총18획; hú,gǔ)
곤 衮=袞(곤룡포 곤; ⾐-총11획; gǔn)
곤 困=睏(졸릴 곤; ⽬-총12획; kùn)
곤 滚=滾(흐를 곤; ⽔-총14획; gǔn)
곤 绲=緄(띠 곤; ⽷-총14획; gǔn)
곤 辊=輥(빨리 구를 곤; ⾞-총15획; gǔn)
곤 锟=錕(붉은 쇠 곤; ⾦-총16획; kūn)
곤 阃=閫(문지방 곤; ⾨-총15획; kǔn)
곤 鲧=鯀(물고기 이름 곤; ⿂-총18획; gǔn)
곤 鲲=鯤(곤이 곤; ⿂-총19획; kūn)
골 鹘=鶻(송골매 골; ⿃-총21획; gú)
공 杠=槓(지렛대 공; ⽊-총14획; gàng,gāng)
공 巩=鞏(묶을 공; ⾰-총15획; gǒng)
공 筇=笻(대 이름 공; ⽵-총11획; qióng)
공 贡=貢(바칠 공; ⾙-총10획; gòng)
공 赣=贛(줄 공; ⾙-총24획; gàn,gǎn,gòng)
공 龚=龔(공손할 공; ⿓-총22획; gōng)
과 夸=誇(자랑할 과; ⾔-총13획; kuā)
과 伙=夥(많을 과; ⼣-총14획; hǔo)
과 剐=剮(바를 과; ⼑-총11획; guǎ)
과 埚=堝(도가니 과; ⼟-총12획; guō)
과 挝=撾(칠 과; ⼿-총16획; zhuā,wō)
과 课=課(매길 과; ⾔-총15획; kè)
과 过=過(지날 과; ⾡-총13획; guò,guō,guȯ)
과 锅=鍋(노구솥 과; ⾦-총17획; guō)
과 锞=錁(띠 치장 과; ⾦-총16획; kè)
과 颗=顆(낟알 과; ⾴-총17획; kē)
과 骒=騍(암말 과; ⾺-총18획; kè)
곽 椁=槨(덧널 곽; ⽊-총15획; guǒ)
관 毋=毌(꿰뚫을 관; ⽏-총4획; guàn)
관 关=關(빗장 관; ⾨-총19획; guān)
관 宽=寬(너그러울 관; ⼧-총15획; kuān)
관 惯=慣(버릇 관; ⼼-총14획; guàn)
관 掼=摜(익숙해질 관; ⼿-총14획; guàn)
관 绾=綰(얽을 관; ⽷-총14획; wǎn)
관 观=觀(볼 관; ⾒-총25획; guān,guàn)
관 贯=貫(꿸 관; ⾙-총11획; guàn)
관 馆=館(객사 관; ⾷-총17획; guǎn)
관 髋=髖(허리뼈 관; ⾻-총25획; kuān,kūn)
관 鹳=鸛(황새 관; ⿃-총29획; huān,huán)
괄 刮=颳(모진 바람 괄; ⾵-총15획; guā)
괄 鸹=鴰(재두루미 괄; ⿃-총17획; guā)
광 匡=劻(급할 광; ⼒-총8획; kuāng)
광 广=廣(넓을 광; ⼴-총15획; guǎng)
광 圹=壙(광 광; ⼟-총18획; kuàng)
광 旷=曠(밝을 광; ⽇-총19획; kuàng)
광 犷=獷(사나울 광; ⽝-총18획; guǎng)
광 矿=礦(쇳돌 광; ⽯-총20획; kuàng,gǒng)
광 纩=纊(솜 광; ⽷-총21획; guāng)
광 诓=誆(속일 광; ⾔-총13획; kuāng)
광 诳=誑(속일 광; ⾔-총14획; kuáng)
광 邝=鄺(성 광; ⾢-총18획; kuāng)
괘 挂=掛(걸 괘; ⼿-총11획; guà)
괘 拐=枴(지팡이 괘; ⽊-총9획; guǎi)
괘 呙=咼(입 비뚤어질 괘와,성 화; ⼝-총9획; guō)
괘 诖=詿(그르칠 괘; ⾔-총13획; guà)
괴 坏=壞(무너질 괴; ⼟-총19획; huài)
괴 块=塊(흙덩이 괴; ⼟-총13획; kuài)
괴 蒉=蕢(상할 괴; ⾋-총16획; kuì)
괵 帼=幗(머리 장식 귁; ⼱-총14획; guó,guāi)
괵 掴=摑(칠 괵; ⼿-총14획; guó)
괵 蝈=蟈(청개구리 괵; ⾍-총17획; guō)
굉 轰=轟(울릴 굉; ⾞-총21획; hōng)
굉 闳=閎(마을 문 굉; ⾨-총12획; hóng)
교 乔=喬(높을 교; ⼝-총12획; qiáo)
교 侨=僑(높을 교; ⼈-총14획; qiáo)
교 啮=嚙(깨물 교; ⼝-총18획; niè)
교 娇=嬌(아리따울 교; ⼥-총15획; jiāo)
교 峤=嶠(뾰족하게 높을 교; ⼭-총15획; jiào,qiáo)
교 挢=撟(들 교; ⼿-총15획; jiǎo)
교 搅=攪(어지러울 교; ⼿-총23획; jiǎo)
교 桥=橋(다리 교; ⽊-총16획; qiáo)
교 矫=矯(바로잡을 교; ⽮-총17획; jiǎo,jiáo)
교 硗=磽(메마른 땅 교; ⽯-총17획; qiāo)
교 绞=絞(목맬 교; ⽷-총12획; jiǎo)
교 翘=翹(꼬리 긴 깃털 교; ⽻-총18획; qiáo,qiào)
교 胶=膠(아교 교; ⾁-총15획; jiāo)
교 荞=蕎(메밀 교; ⾋-총16획; qiáo)
교 跷=蹺(발돋움할 교; ⾜-총19획; qiāo)
교 轿=轎(가마 교; ⾞-총19획; jiào)
교 较=較(견줄 교; ⾞-총13획; jiào)
교 铰=鉸(가위 교; ⾦-총14획; jiǎo)
교 饺=餃(경단 교; ⾷-총15획; jiǎo)
교 骄=驕(교만할 교; ⾺-총22획; jiāo)
교 鲛=鮫(상어 교; ⿂-총17획; jiāo)
구 球=毬(공 구; ⽑-총11획; qiú)
구 扣=釦(금테 두를 구; ⾦-총11획; kǒu)
